Modal_Index,Submodel_Index,Position_Encoding,Attention_Heads,Attention_Keys,LSTM_Neurons,Dropout_Rate,Learning_Rate,Best_Fitness,Optimization_Time_Seconds
1.000000,1.000000,8.000000,8.000000,16.000000,32.000000,0.250499,0.005500,1.127283,1.100006,118.591161
2.000000,1.000000,32.000000,32.000000,64.000000,128.000000,0.500000,0.001000,0.795982,0.795982,167.944227
3.000000,1.000000,32.000000,16.000000,32.000000,256.000000,0.001000,0.010000,0.688666,0.688666,99.202485
4.000000,1.000000,64.000000,8.000000,16.000000,256.000000,0.001000,0.001000,0.591548,0.591548,97.990849
5.000000,1.000000,32.000000,32.000000,64.000000,256.000000,0.001000,0.010000,0.536885,0.536885,118.283177
6.000000,1.000000,8.000000,8.000000,16.000000,32.000000,0.251687,0.005517,0.627002,0.627002,120.684075
7.000000,1.000000,8.000000,8.000000,16.000000,32.000000,0.251687,0.005479,0.823338,0.823338,116.910240
8.000000,1.000000,8.000000,8.000000,16.000000,32.000000,0.251687,0.005521,0.686100,0.686100,119.057848
9.000000,1.000000,8.000000,8.000000,16.000000,32.000000,0.249313,0.005521,0.590860,0.509582,117.013432
10.000000,1.000000,4.000000,64.000000,128.000000,4.000000,0.001000,0.002467,4.594885,4.420036,131.158328
